prodnombre,kg_por_bolsa,bolsas_cerradas,kg_abiertos
"LIVRA ADULTOS MINIS Y PEQUEÑOS X7,5KG (DISTRIBUIDORA MAIPÚ)","7,50",1,
LIVRA CACHORROS X3KG (DISTRIBUIDORA MAIPÚ),"3,00",1,
"LIVRA CACHORROS X7,5KG (DISTRIBUIDORA MAIPÚ)","7,50",1,
LIVRA CORDERO X15KG (DISTRIBUIDORA MAIPÚ),"15,00",1,
LIVRA CORDERO X3KG (DISTRIBUIDORA MAIPÚ),"3,00",1,
LIVRA GATOS ADULTOS X3KG (DISTRIBUIDORA MAIPÚ),"3,00",1,
"LIVRA GATOS ADULTOS X7,5KG (DISTRIBUIDORA MAIPÚ)","7,50",1,
MASGOOD ESENCIAL CACHORRO x10kg,"10,00",1,
MASGOOD ESENCIAL CACHORRO x19kg +1kg,"20,00",1,
MASGOOD ESENCIAL GATO 19 + 1 KG (GOMENSORO),"20,00",1,
MASGOOD ESENCIAL GATO X 10 KG (GOMENSORO),"10,00",1,
MASGOOD MAX GATO X 10 KG (GOMENSORO),"10,00",1,
MASGOOD MAX GATO X 19+1 KG (GOMENSORO),"20,00",1,
MASGOOD MAX GATO X 3 KG (GOMENSORO),"3,00",1,
MASGOOD MAX PERRO ADULTO x15kg (GOMENSORO),"15,00",1,
MASGOOD MAX PERRO ADULTO x20kg (GOMENSORO),"20,00",1,
MASGOOD MAX PERRO ADULTO x3kg (GOMENSORO),"3,00",1,
MASGOOD MAX R/P X 10 KG (GOMENSORO),"10,00",1,
MASGOOD MAX R/P X 19 + 1 KG (GOMENSORO),"20,00",1,
MASGOOD MAX R/P X 3 KG (GOMENSORO),"3,00",1,
MASGOOD PERRO ADULTO ESENCIAL x10kg (GOMENSORO),"10,00",1,
MASGOOD PERRO ADULTO ESENCIAL x15kg (GOMENSORO),"15,00",1,
MASGOOD PERRO ADULTO ESENCIAL x20kg (GOMENSORO),"20,00",1,
MASGOOD PREMIUM CACHORRO x15kg,"15,00",1,
MASGOOD PREMIUM CACHORRO x8kg,"8,00",1,
MASGOOD PREMIUM GATO X 15+2 KG (GOMENSORO),"17,00",1,
MASGOOD PREMIUM GATO X 3 KG (GOMENSORO),"3,00",1,
MASGOOD PREMIUM GATO X 8 KG (GOMENSORO),"8,00",1,
MASGOOD PREMIUM R/MyG x 15 KG (GOMENSORO),"15,00",1,
MASGOOD PREMIUM R/MyG x 20 KG (GOMENSORO),"20,00",1,
MASGOOD PREMIUM R/MyG x 3 KG (GOMENSORO),"3,00",1,
MASGOOD PREMIUM R/PEQ X 10 KG (GOMENSORO),"10,00",1,
MASGOOD PREMIUM R/PEQ X 19 +1 KG (GOMENSORO),"20,00",1,
MASGOOD PREMIUM R/PEQ X 3 KG (GOMENSORO),"3,00",1,
MASTER CROCK ADULTO M Y L x10kg (DISTRIBUIDORA MAIPÚ),"10,00",1,
MASTER CROCK ADULTO M Y L x20kg (DISTRIBUIDORA MAIPÚ),"20,00",1,
MASTER CROCK ADULTO M Y L x2kg (DISTRIBUIDORA MAIPÚ),"2,00",1,
MASTER CROCK ADULTO SMALL x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
MASTER CROCK ADULTO SMALL x2kg (DISTRIBUIDORA MAIPÚ),"2,00",1,
MASTER CROCK CACHORRO M Y L x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
MASTER CROCK CACHORRO SMALL x1kg (DISTRIBUIDORA MAIPÚ),"1,00",1,
MASTER CROCK CACHORRO SMALL x8kg (DISTRIBUIDORA MAIPÚ),"8,00",1,
MASTER CROCK GATO CASTRADO - ESTERILIZADO x1kg (DISTRIBUIDORA MAIPÚ),"1,00",1,
MASTER CROCK GATO CASTRADO - ESTERILIZADO x7kg (DISTRIBUIDORA MAIPÚ),"7,00",1,
MASTER CROCK GATO URINARY x1kg (DISTRIBUIDORA MAIPÚ),"1,00",1,
MASTER CROCK GATO URINARY x7kg (DISTRIBUIDORA MAIPÚ),"7,00",1,
MASTER CROCK LIGHT M Y L x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
MAXIUM ADULTO 15,"15,00",1,
MAXIUM ADULTO 20,"20,00",1,
MAXIUM CACHORRO 15 KG,"15,00",1,
MAXIUM CORDERO 15 KG,"15,00",1,
MAXIUM CORDERO 3 KG,"3,00",1,
MEZCLA CANARIO 10 KG (SALADILLO),"10,00",1,
NUTRICARE ADULTO RG x20kg (LUCHEZZE),"20,00",1,
"NUTRICARE ADULTO RG x7,5kg (LUCHEZZE)","7,50",1,
NUTRICARE ADULTO RP x20kg (LUCHEZZE),"20,00",1,
"NUTRICARE ADULTO RP x7,5kg (LUCHEZZE)","7,50",1,
NUTRICARE CACHORRO x15kg (LUCHEZZE),"15,00",1,
"Nutricare gato adulto x 7,5 kg","7,50",1,
"NUTRICARE GATO ADULTO X7,5kg (LUCHEZZE)","7,50",1,
ODWALLA ADULTO X 22 KG (EL CHOIQUE),"22,00",1,
OLD PRINCE ADULTO M&L X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE ADULTO M&L X 20 KG (GOMENSORO),"20,00",1,
OLD PRINCE ADULTO M&L X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE ADULTO M&L X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE ADULTO RP X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE ADULTO RP X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE ADULTO RP X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE CERDO LEGUMBRE ADULTO X 15 KG(GOMENSORO),"15,00",1,
OLD PRINCE CERDO LEGUMBRE ADULTOX 3 KG(GOMENSORO),"3,00",1,
OLD PRINCE CONTROL DE PESO X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE COR/ARROZ ADULTO MYL X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE COR/ARROZ ADULTO MYL X 3 KG  (GOMENSORO),"3,00",1,
OLD PRINCE COR/ARROZ ADULTO RP X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE COR/ARROZ ADULTO RP X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE COR/ARROZ ADULTO RP X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE COR/ARROZ CACHORRO X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE COR/ARROZ CACHORRO X 3 KG (GOMENSORO),"3,00",1,
OLD PRINCE GATO ADULTO COR/ARROZ X 1 KG (GOMENSORO),"1,00",1,
OLD PRINCE GATO ADULTO COR/ARROZ X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE GATO ADULTO COR/ARROZ X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE GATO ADULTO ESTERILIZADO COR/ARROZ X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE GATO ADULTO ESTERILIZADO COR/ARROZ X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE GATO ADULTO ESTERILIZADO X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE GATO ADULTO ESTERILIZADO X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE GATO KITTEN  X 1 KG (GOMENSORO),"1,00",1,
OLD PRINCE GATO KITTEN  X 3 KG (GOMENSORO),"3,00",1,
OLD PRINCE GATO KITTEN COR/ARROZ X 1 KG (GOMENSORO),"1,00",1,
OLD PRINCE GATO KITTEN COR/ARROZ X 3 KG (GOMENSORO),"3,00",1,
OLD PRINCE GATO URINARY X 3 KG (GOMENSORO),"3,00",1,
"OLD PRINCE GATO URINARY X 7,5 KG (GOMENSORO)","7,50",1,
OLD PRINCE PREMIUM ADULTO X 20 KG (GOMENSORO),"20,00",1,
OLD PRINCE PREMIUM ADULTO X 3 KG (GOMENSORO),"3,00",1,
OLD PRINCE PREMIUM CACHORRO X 15 KG (GOMENSORO),"15,00",1,
OLD PRINCE PREMIUM CORDERO/ARROZ X 15 KG (GOMENSORO),"15,00",1,
"OLD PRINCE PREMIUM GATITO X 7,5KG (GOMENSORO)","7,50",1,
